TIMESTAMP,X POSITION,Y POSITION
000000017,1448.852,685.467
000000033,1448.869,685.4664
000000050,1448.884,685.4656
000000067,1448.897,685.4651
000000083,1448.907,685.465
000000100,1448.918,685.4646
000000117,1448.927,685.4643
000000133,1448.937,685.464
000000150,1448.941,685.459
000000167,1448.941,685.4507
000000183,1448.941,685.432
000000200,1448.917,685.4102
000000217,1448.854,685.3746
000000233,1448.75,685.312
000000250,1448.599,685.2156
000000267,1448.35,685.0651
000000283,1448.006,684.8549
000000300,1447.542,684.5635
000000317,1446.928,684.1686
000000333,1446.183,683.7416
000000350,1445.227,683.1962
000000367,1444.078,682.5764
000000383,1442.747,681.8855
000000400,1441.224,681.1134
000000417,1439.475,680.2599
000000433,1437.484,679.3344
000000450,1435.321,678.3628
000000467,1432.971,677.3454
000000483,1430.247,676.2181
000000500,1427.254,675.0426
000000517,1424.115,673.8501
000000533,1420.778,672.6203
000000550,1417.157,671.3279
000000567,1413.201,669.9949
000000583,1409.143,668.6919
000000600,1404.843,667.3535
000000617,1400.299,665.9788
000000633,1395.665,664.6207
000000650,1390.648,663.2217
000000667,1385.379,661.8217
000000683,1379.97,660.4326
000000700,1374.476,659.0554
000000717,1368.548,657.649
000000733,1362.435,656.2519
000000750,1356.126,654.85
000000767,1349.696,653.4688
000000783,1343.276,652.1449
000000800,1336.343,650.8092
000000817,1329.211,649.4712
000000833,1321.906,648.1556
000000850,1314.442,646.868
000000867,1306.8,645.583
000000883,1299.184,644.387
000000900,1291.285,643.1949
000000917,1283.124,642.015
000000933,1274.787,640.8628
000000950,1266.288,639.7435
000000967,1257.683,638.6547
000000983,1248.893,637.5976
000001000,1240.021,636.5807
000001017,1231.229,635.6081
000001033,1221.731,634.6219
000001050,1212.241,633.6986
000001067,1202.657,632.7853
000001083,1192.951,631.8857
000001100,1183.144,631.0392
000001117,1173.508,630.1959
000001133,1163.365,629.3527
000001150,1153.025,628.533
000001167,1142.68,627.7411
000001183,1132.232,626.9615
000001200,1121.62,626.1981
000001217,1111.139,625.439
000001233,1100.537,624.6929
000001250,1089.638,623.9625
000001267,1078.539,623.225
000001283,1067.359,622.4985
000001300,1056.314,621.7927
000001317,1045.247,621.0974
000001333,1033.906,620.3977
000001350,1022.438,619.7119
000001367,1010.823,619.0414
000001383,999.41,618.3815
000001400,988.1343,617.7264
000001417,976.4619,617.0692
000001433,964.5601,616.4069
000001450,952.9459,615.7504
000001467,941.3143,615.1031
000001483,929.3841,614.4694
000001500,917.4647,613.8425
000001517,905.5022,613.2165
000001533,893.6861,612.5861
000001550,881.9479,611.9491
000001567,869.9142,611.2986
000001583,857.8575,610.6733
000001600,845.7664,610.032
000001617,833.592,609.3706
000001633,821.3316,608.6909
000001650,809.1301,608.0004
000001667,796.872,607.2787
000001683,784.493,606.558
000001700,772.0692,605.8225
000001717,759.715,605.0602
000001733,747.6288,604.3126
000001750,735.1755,603.5144
000001767,722.5876,602.6782
000001783,709.9038,601.804
000001800,697.0827,600.8821
000001817,684.6912,599.9059
000001833,671.7719,598.8413
000001850,658.7725,597.7129
000001867,645.9547,596.5404
000001883,632.9659,595.2745
000001900,619.881,593.9339
000001917,606.7222,592.4966
000001933,593.4327,590.9521
000001950,579.7245,589.2921
000001967,566.3896,587.5621
000001983,552.9711,585.7444
000002000,539.3167,583.7982
000002017,527.2224,581.8701
000002033,516.9269,580.0629
000002050,506.3365,578.1367
000002067,495.7455,576.1088
000002083,485.3059,573.996
000002100,474.6174,571.7246
000002117,463.7228,569.3278
000002133,452.8364,566.7941
000002150,442.0923,564.1646
000002167,431.4876,561.4924
000002183,420.642,558.5923
000002200,409.7202,555.5962
000002217,398.8369,552.4995
000002233,388.0309,549.2848
000002250,377.1616,545.9567
000002267,365.9747,542.3269
000002283,355.0596,538.6823
000002300,344.2536,534.9968
000002317,333.3527,531.0855
000002333,322.5791,527.0852
000002350,311.9128,522.9944
000002367,300.9826,518.5919
000002383,290.198,514.1682
000002400,279.6364,509.7482
000002417,268.7995,505.0031
000002433,257.9062,500.09
000002450,247.0274,494.9971
000002467,236.6853,489.9085
000002483,226.2197,484.6517
000002500,215.5036,479.1156
000002517,205.3118,473.6214
000002533,195.0425,467.9396
000002550,184.4658,461.8296
000002567,174.3717,455.7338
000002583,164.4372,449.585
000002600,154.8913,443.4156
000002617,145.3543,436.9682
000002633,135.7847,430.2818
000002650,126.6517,423.4191
000002667,117.5423,416.364
000002683,108.4615,409.0967
000002700,100.1267,401.7899
000002717,91.96021,394.3672
000002733,84.08993,386.8373
000002750,76.68377,379.1628
000002767,69.4332,371.3359
000002783,62.47381,363.3436
000002800,56.07485,355.2493
000002817,49.98156,347.0247
000002833,44.50155,338.6808
000002850,39.33392,330.0268
000002867,34.48471,321.1085
000002883,30.7655,312.4462
000002900,27.51837,303.7204
000002917,24.7746,294.9401
000002933,22.86572,286.1118
000002950,21.3695,277.1158
000002967,20.50581,267.9419
000002983,20.56841,259.0749
000003000,21.10712,250.1207
000003017,22.4035,241.0093
000003033,24.50085,232.1481
000003050,27.18355,223.2512
000003067,31.01984,214.2607
000003083,35.54935,205.2685
000003100,40.63408,196.3067
000003117,46.61705,187.5594
000003133,53.33256,179.1011
000003150,60.58811,170.7581
000003167,68.95735,162.6701
000003183,78.32588,154.58
000003200,88.39874,146.5519
000003217,99.15012,139.012
000003233,110.6631,131.5817
000003250,123.0905,124.4293
000003267,136.1216,117.5922
000003283,149.795,111.0517
000003300,163.8788,104.9852
000003317,178.122,99.17706
000003333,193.8104,93.61407
000003350,209.6629,88.24225
000003367,225.6978,83.12189
000003383,241.8442,78.72101
000003400,258.261,74.54712
000003417,275.5327,70.69934
000003433,292.8636,67.26941
000003450,310.1754,64.07666
000003467,327.8442,61.38385
000003483,345.7262,59.13934
000003500,363.5046,57.33496
000003517,381.1266,55.75293
000003533,399.3867,54.69336
000003550,416.9237,53.89685
000003567,433.9551,53.45776
000003583,451.4564,53.34827
000003600,468.8912,53.68188
000003617,485.3309,54.45886
000003633,501.7228,55.56091
000003650,518.0797,56.96613
000003667,533.9899,58.63574
000003683,549.1194,60.55402
000003700,564.2365,62.84247
000003717,578.3491,65.26971
000003733,592.1553,67.94794
000003750,605.9389,70.94702
000003767,619.2257,74.1488
000003783,631.3555,77.41803
000003800,643.5098,81.02185
000003817,654.8633,84.66583
000003833,665.6262,88.41766
000003850,676.209,92.45819
000003867,686.1553,96.57458
000003883,695.0884,100.6111
000003900,703.7598,104.8383
000003917,712.0546,109.2073
000003933,719.8551,113.6513
000003950,727.1445,118.1613
000003967,733.7767,122.6611
000003983,739.6032,126.9868
000004000,745.1312,131.4355
000004017,750.2274,135.9747
000004033,754.7531,140.5075
000004050,758.8325,145.037
000004067,762.3298,149.4857
000004083,765.3102,153.8275
000004100,768.0214,158.0917
000004117,770.3047,162.4366
000004133,772.0418,166.5934
000004150,773.4991,170.6545
000004167,774.4771,174.6286
000004183,775.073,178.6156
000004200,775.4302,182.5485
000004217,775.351,186.35
000004233,774.9009,190.0712
000004250,774.1251,193.6328
000004267,773.1963,197.0931
000004283,771.8414,200.4962
000004300,770.0433,203.8888
000004317,768.0895,207.1953
000004333,765.8589,210.3673
000004350,763.3983,213.3475
000004367,760.7099,216.2943
000004383,757.6743,219.2043
000004400,754.3744,222.061
000004417,750.8095,224.8002
000004433,746.9965,227.3958
000004450,743.0781,229.8974
000004467,738.7688,232.3498
000004483,734.1364,234.737
000004500,729.3691,237.0639
000004517,724.3535,239.2755
000004533,719.2668,241.3672
000004550,714.1445,243.3842
000004567,708.4424,245.33
000004583,702.5967,247.21
000004600,696.5689,249.0168
000004617,690.2505,250.7108
000004633,683.7791,252.3446
000004650,677.0493,253.8907
000004667,670.2472,255.2923
000004683,663.3265,256.6429
000004700,655.8455,257.944
000004717,648.2609,259.1485
000004733,640.6004,260.2878
000004750,632.3759,261.399
000004767,624.1261,262.4727
000004783,615.8608,263.4949
000004800,606.952,264.4773
000004817,597.8595,265.4325
000004833,588.7479,266.3264
000004850,579.3139,267.1666
000004867,569.7048,267.9572
000004883,559.924,268.7274
000004900,549.7333,269.4504
000004917,539.1694,270.179
000004933,528.6967,270.7964
000004950,517.806,271.3843
000004967,506.3542,271.9504
000004983,494.4766,272.4794
000005000,482.3745,272.9863
000005017,470.4029,273.3998
000005033,457.6679,273.803
000005050,444.6482,274.1572
000005067,431.4099,274.4538
000005083,1456.01,345.9314
000005100,1454.851,345.8824
000005117,1453.706,345.8025
000005133,1452.583,345.7105
000005150,1451.551,345.6105
000005167,1450.499,345.4782
000005183,1449.433,345.3239
000005200,1448.469,345.1572
000005217,1447.505,344.9649
000005233,1446.552,344.726
000005250,1445.62,344.4463
000005267,1444.719,344.1484
000005283,1443.84,343.8151
